bootcamp_name,course,location,rating,financing_option,ISA,topics,next_batch,cost,website,logo_url
Le Wagon,Web Development,Playa del Carmen,4.98,No,No,"Python, matplotlib, seaborn, Relational Database, SQL, Statistics, Probability, Linear Algebra, Machine Learning, Scikit-learn, Deep Learning, Data Engineering, Jupyter, Google Cloud Platform, MLflow","Oct 3, 2022","6,000 USD",https://www.lewagon.com/playa-del-carmen/web-development-course/full-time,https://coursereport-production.imgix.net/uploads/school/logo/153/original/Icon_Red.png?w=100&h=100&dpr=1&q=75
Le Wagon,Data Science,Porto,4.98,Yes,No,"Python, matplotlib, seaborn, Relational Database, SQL, Statistics, Probability, Linear Algebra, Machine Learning, Scikit-learn, Deep Learning, Data Engineering, Jupyter, Google Cloud Platform, MLflow","Jan 23, 2023",,https://www.lewagon.com/porto/data-science-course/full-time,https://coursereport-production.imgix.net/uploads/school/logo/153/original/Icon_Red.png?w=100&h=100&dpr=1&q=75
Le Wagon,Web Development,Porto,4.98,Yes,No,"Python, matplotlib, seaborn, Relational Database, SQL, Statistics, Probability, Linear Algebra, Machine Learning, Scikit-learn, Deep Learning, Data Engineering, Jupyter, Google Cloud Platform, MLflow","Oct 10, 2022",,https://www.lewagon.com/porto/web-development-course/full-time,https://coursereport-production.imgix.net/uploads/school/logo/153/original/Icon_Red.png?w=100&h=100&dpr=1&q=75
Le Wagon,Data Science,Nantes,4.98,Yes,No,"Python, matplotlib, seaborn, Relational Database, SQL, Statistics, Probability, Linear Algebra, Machine Learning, Scikit-learn, Deep Learning, Data Engineering, Jupyter, Google Cloud Platform, MLflow","Oct 10, 2022","6,000 €",https://www.lewagon.com/nantes/data-science-course/full-time,https://coursereport-production.imgix.net/uploads/school/logo/153/original/Icon_Red.png?w=100&h=100&dpr=1&q=75
Le Wagon,Web Development,Paris,4.98,Yes,No,"Python, matplotlib, seaborn, Relational Database, SQL, Statistics, Probability, Linear Algebra, Machine Learning, Scikit-learn, Deep Learning, Data Engineering, Jupyter, Google Cloud Platform, MLflow","Oct 10, 2022","6,900 €",https://www.lewagon.com/paris/web-development-course/full-time,https://coursereport-production.imgix.net/uploads/school/logo/153/original/Icon_Red.png?w=100&h=100&dpr=1&q=75
Le Wagon,Data Science,Paris,4.98,Yes,No,"Python, matplotlib, seaborn, Relational Database, SQL, Statistics, Probability, Linear Algebra, Machine Learning, Scikit-learn, Deep Learning, Data Engineering, Jupyter, Google Cloud Platform, MLflow","Oct 10, 2022","7,500 €",https://www.lewagon.com/paris/data-science-course/full-time,https://coursereport-production.imgix.net/uploads/school/logo/153/original/Icon_Red.png?w=100&h=100&dpr=1&q=75
Le Wagon,Data Science,Munich,4.98,Yes,No,"Python, matplotlib, seaborn, Relational Database, SQL, Statistics, Probability, Linear Algebra, Machine Learning, Scikit-learn, Deep Learning, Data Engineering, Jupyter, Google Cloud Platform, MLflow","Oct 10, 2022","6,900 €",https://www.lewagon.com/munich/data-science-course/full-time,https://coursereport-production.imgix.net/uploads/school/logo/153/original/Icon_Red.png?w=100&h=100&dpr=1&q=75
Le Wagon,Data Science,Nice,4.98,Yes,No,"Python, matplotlib, seaborn, Relational Database, SQL, Statistics, Probability, Linear Algebra, Machine Learning, Scikit-learn, Deep Learning, Data Engineering, Jupyter, Google Cloud Platform, MLflow","Oct 10, 2022","6,000 €",https://www.lewagon.com/nice/data-science-course/full-time,https://coursereport-production.imgix.net/uploads/school/logo/153/original/Icon_Red.png?w=100&h=100&dpr=1&q=75
Le Wagon,Web Development,Montreal,4.98,Yes,No,"Python, matplotlib, seaborn, Relational Database, SQL, Statistics, Probability, Linear Algebra, Machine Learning, Scikit-learn, Deep Learning, Data Engineering, Jupyter, Google Cloud Platform, MLflow","Oct 3, 2022","11,900 CAD",https://www.lewagon.com/montreal/web-development-course/full-time,https://coursereport-production.imgix.net/uploads/school/logo/153/original/Icon_Red.png?w=100&h=100&dpr=1&q=75
Le Wagon,Web Development,Nice,4.98,Yes,No,"Python, matplotlib, seaborn, Relational Database, SQL, Statistics, Probability, Linear Algebra, Machine Learning, Scikit-learn, Deep Learning, Data Engineering, Jupyter, Google Cloud Platform, MLflow","Oct 10, 2022","6,000 €",https://www.lewagon.com/nice/web-development-course/full-time,https://coursereport-production.imgix.net/uploads/school/logo/153/original/Icon_Red.png?w=100&h=100&dpr=1&q=75
